StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,18+,ukres,informed_consent,qage,qgender,attentioncheck,primertimer_First Click,primertimer_Last Click,primertimer_Page Submit,primertimer_Click Count,v1timecont_First Click,v1timecont_Last Click,v1timecont_Page Submit,v1timecont_Click Count,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q45_First Click,Q45_Last Click,Q45_Page Submit,Q45_Click Count,contordinary,contordinarythumb_1,contordinarythumb_2,contordinarythumb_3,contordinarythumb_4,contordinarythumb_5,contfewwords,contaltered,contalteredthumb_1,contalteredthumb_2,contalteredthumb_3,contalteredthumb_4,contalteredthumb_5,contalteredwords,contfamiliar_1,contseenbefore,contfamvideothumb_1,contfamvideothumb_2,contfamvideothumb_3,contfamvideothumb_4,contfamvideothumb_5,contawaredf,contdfslider_1,continternet_1,contproficient_1,Q46_First Click,Q46_Last Click,Q46_Page Submit,Q46_Click Count,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,treatordinary,treatordinarythumb_1,treatordinarythumb_2,treatordinarythumb_3,treatordinarythumb_4,treatordinarythumb_5,treatfewwords,treataltered,treatalteredthumb_1,treatalteredthumb_2,treatalteredthumb_3,treatalteredthumb_4,treatalteredthumb_5,treatalteredwords,treatfamiliar_1,treatseenbefore,treatseenthumb_1,treatseenthumb_2,treatseenthumb_3,treatseenthumb_4,treatseenthumb_5,treatawaredf,treatdfslider_1,treatinternet_1,treatproficient_1,Q58_First Click,Q58_Last Click,Q58_Page Submit,Q58_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,exp2dfobv,exp2dfthumb_1,exp2dfthumb_2,exp2dfthumb_3,exp2dfthumb_4,exp2dfthumb_5,exp2confident_1,exp2dfwords,exp2familiar_1,exp2seenbefore,exp2seenbeforethumb_1,exp2seenbeforethumb_2,exp2seenbeforethumb_3,exp2seenbeforethumb_4,exp2seenbeforethumb_5,exp2awaredf,exp2dfslider_1,exp2internet_1,exp2proficient_1,rid,gender,age,education,gc,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Are you age 18 or older?,Are you a UK resident?,You have read and understand the information above and want to participate in this research and continue with the survey.,What is your age?,What is your gender?,"As you proceed, careful attention to survey questions is very important! To demonstrate that you are paying attention, please answer the below question with ""Somewhat""",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Thinking of the quality of the videos, rather than the spoken content, did you notice anything out of the ordinary about any of the videos you watched?","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - 
","In a few words, please tell us what, if anything, you thought was out of the ordinary about the clip(s) you’ve chosen.","Did any of the videos that you watched seem to have been altered, fake, or inauthentic in any way?","If so, please select the thumbnail(s) of the video(s) that seemed to have been altered. - ","If so, please select the thumbnail(s) of the video(s) that seemed to have been altered. - ","If so, please select the thumbnail(s) of the video(s) that seemed to have been altered. - ","If so, please select the thumbnail(s) of the video(s) that seemed to have been altered. - ","If so, please select the thumbnail(s) of the video(s) that seemed to have been altered. - 
","In a few words, please tell us what, if anything, made you believe the clip(s) you’ve chosen contained altered, fake, or inauthentic content.","Prior to watching these videos, how familiar were you with the actor Tom Cruise? (0 = totally unfamiliar, 10 = very familiar)","Prior to today, had you seen any of these videos before?","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - 
",Were you aware of deepfake video technology before beginning this study?,"On a scale of 0-10 where 10 is a great deal and 0 is none at all, how much would you say you know about deepfake video technology?","On a scale of 0-10 where 10 is a great deal and 0 is none at all, how much time do you spend on the Internet outside of work-related commitments on an average day?","On a scale of 0-10 where 10 is very proficient and 0 is not proficient at all, how proficient do you consider yourself in navigating social media platforms?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Thinking of the quality of the videos, rather than the spoken content, did you notice anything out of the ordinary about any of the videos you watched?","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - 
","In a few words, please tell us what, if anything, you thought was out of the ordinary about the clip(s) you’ve chosen.","Did any of the videos that you watched seem to have been altered, fake, or inauthentic in any way?","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - ","If so, please select the thumbnail(s) of the individual clip(s) in which you found something out of the ordinary. - 
","In a few words, please tell us what, if anything, made you believe the clip(s) you’ve chosen contained altered, fake, or inauthentic content.","Prior to watching these videos, how familiar were you with the actor Tom Cruise? (0 = totally unfamiliar, 10 = very familiar)","Prior to today, had you seen any of these videos before?","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - 
",Were you aware of deepfake video technology before beginning this study?,"On a scale of 0-10 where 10 is a great deal and 0 is none at all, how much would you say you know about deepfake video technology?","On a scale of 0-10 where 10 is a great deal and 0 is none at all, how much time do you spend on the Internet outside of work-related commitments on an average day?","On a scale of 0-10 where 10 is very proficient and 0 is not proficient at all, how proficient do you consider yourself in navigating social media platforms?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"When watching the videos, was it obvious to you which of the 5 videos were deepfake(s)?","Please select the thumbnail(s) of the individual clip(s) you thought were deepfake(s). - ","Please select the thumbnail(s) of the individual clip(s) you thought were deepfake(s). - ","Please select the thumbnail(s) of the individual clip(s) you thought were deepfake(s). - ","Please select the thumbnail(s) of the individual clip(s) you thought were deepfake(s). - ","Please select the thumbnail(s) of the individual clip(s) you thought were deepfake(s). - 
","On a scale of 0-10, where 0 is not confident at all and 10 is fully confident, how confident are you that you selected the right video(s)?","In a few words, please tell us what, if anything, made you believe the clip(s) you’ve chosen were deepfake(s).","Prior to watching these videos, how familiar were you with the actor Tom Cruise? (0 = totally unfamiliar, 10 = very familiar)","Prior to today, had you seen any of these videos before?","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - ","Which of these videos had you seen before? - 
",Were you aware of deepfake video technology before beginning this study?,"On a scale of 0-10 where 10 is a great deal and 0 is none at all, how much would you say you know about deepfake video technology?","On a scale of 0-10 where 10 is a great deal and 0 is none at all, how much time do you spend on the Internet outside of work-related commitments on an average day?","On a scale of 0-10 where 10 is very proficient and 0 is not proficient at all, how proficient do you consider yourself in navigating social media platforms?",rid,gender,age,education,gc,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID8""}","{""ImportId"":""QID52_FIRST_CLICK""}","{""ImportId"":""QID52_LAST_CLICK""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID52_CLICK_COUNT""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16"",""choiceId"":""1""}","{""ImportId"":""QID16"",""choiceId"":""2""}","{""ImportId"":""QID16"",""choiceId"":""3""}","{""ImportId"":""QID16"",""choiceId"":""4""}","{""ImportId"":""QID16"",""choiceId"":""5""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID32"",""choiceId"":""1""}","{""ImportId"":""QID32"",""choiceId"":""2""}","{""ImportId"":""QID32"",""choiceId"":""3""}","{""ImportId"":""QID32"",""choiceId"":""4""}","{""ImportId"":""QID32"",""choiceId"":""5""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID33""}","{""ImportId"":""QID70"",""choiceId"":""1""}","{""ImportId"":""QID70"",""choiceId"":""2""}","{""ImportId"":""QID70"",""choiceId"":""3""}","{""ImportId"":""QID70"",""choiceId"":""4""}","{""ImportId"":""QID70"",""choiceId"":""5""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID49_FIRST_CLICK""}","{""ImportId"":""QID49_LAST_CLICK""}","{""ImportId"":""QID49_PAGE_SUBMIT""}","{""ImportId"":""QID49_CLICK_COUNT""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28"",""choiceId"":""1""}","{""ImportId"":""QID28"",""choiceId"":""2""}","{""ImportId"":""QID28"",""choiceId"":""3""}","{""ImportId"":""QID28"",""choiceId"":""4""}","{""ImportId"":""QID28"",""choiceId"":""5""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID98"",""choiceId"":""1""}","{""ImportId"":""QID98"",""choiceId"":""2""}","{""ImportId"":""QID98"",""choiceId"":""3""}","{""ImportId"":""QID98"",""choiceId"":""4""}","{""ImportId"":""QID98"",""choiceId"":""5""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35"",""choiceId"":""1""}","{""ImportId"":""QID35"",""choiceId"":""2""}","{""ImportId"":""QID35"",""choiceId"":""3""}","{""ImportId"":""QID35"",""choiceId"":""4""}","{""ImportId"":""QID35"",""choiceId"":""5""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID58_FIRST_CLICK""}","{""ImportId"":""QID58_LAST_CLICK""}","{""ImportId"":""QID58_PAGE_SUBMIT""}","{""ImportId"":""QID58_CLICK_COUNT""}","{""ImportId"":""QID60_FIRST_CLICK""}","{""ImportId"":""QID60_LAST_CLICK""}","{""ImportId"":""QID60_PAGE_SUBMIT""}","{""ImportId"":""QID60_CLICK_COUNT""}","{""ImportId"":""QID62_FIRST_CLICK""}","{""ImportId"":""QID62_LAST_CLICK""}","{""ImportId"":""QID62_PAGE_SUBMIT""}","{""ImportId"":""QID62_CLICK_COUNT""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID67_FIRST_CLICK""}","{""ImportId"":""QID67_LAST_CLICK""}","{""ImportId"":""QID67_PAGE_SUBMIT""}","{""ImportId"":""QID67_CLICK_COUNT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77"",""choiceId"":""1""}","{""ImportId"":""QID77"",""choiceId"":""2""}","{""ImportId"":""QID77"",""choiceId"":""3""}","{""ImportId"":""QID77"",""choiceId"":""4""}","{""ImportId"":""QID77"",""choiceId"":""5""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81"",""choiceId"":""1""}","{""ImportId"":""QID81"",""choiceId"":""2""}","{""ImportId"":""QID81"",""choiceId"":""3""}","{""ImportId"":""QID81"",""choiceId"":""4""}","{""ImportId"":""QID81"",""choiceId"":""5""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""rid""}","{""ImportId"":""gender""}","{""ImportId"":""age""}","{""ImportId"":""education""}","{""ImportId"":""gc""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2021-08-25 15:25:04,2021-08-25 15:25:14,0,100,9,1,2021-08-25 15:25:14,R_bQadMWU1XLTQ0lH,anonymous,EN,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612652a3-652f-fe4b-28d8-905131983cf6,,,,2,
2021-08-25 15:25:50,2021-08-25 15:31:14,0,100,324,1,2021-08-25 15:31:15,R_U9Jlc6dKGLcFk8p,anonymous,EN,1,1,1,23,2,3,29.563,29.563,86.961,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,32.326,0,0,0,28.071,0,0,0,28.549,0,0,0,26.041,0,0,0,28.088,0,1,1,1,,,,9,test,8,2,,,,,,1,6,9,7,612652e3-58c3-ad2b-bcb4-345bca9478ca,,,,1,
2021-08-25 17:22:44,2021-08-25 17:23:17,0,100,33,1,2021-08-25 17:23:18,R_7TFuy7MYFYReJgZ,anonymous,EN,1,1,1,38,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61266e54-d127-905d-3b86-270aed35074b,,,,2,
2021-08-25 17:23:05,2021-08-25 17:23:23,0,100,17,1,2021-08-25 17:23:23,R_2QSry7PcXkhkRbO,anonymous,EN,1,1,1,45,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61266e61-deb2-e748-7942-67b9ab1d7b6c,,,,2,
2021-08-25 17:24:00,2021-08-25 17:24:11,0,100,11,1,2021-08-25 17:24:11,R_1IiyRuvpAo0edaZ,anonymous,EN,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61266e96-ad5f-d1cb-8ca8-8018877ac4ba,,,,2,
2021-08-25 17:24:23,2021-08-25 17:24:48,0,100,25,1,2021-08-25 17:24:48,R_xFuqmUvUZ5HzobL,anonymous,EN,1,1,1,42,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61266eb9-6ab9-efc5-3a4a-b6ceedfe2a70,,,,2,
2021-08-25 17:22:55,2021-08-25 17:27:35,0,100,279,1,2021-08-25 17:27:35,R_1gGUhdNiVUhmeSp,anonymous,EN,1,1,1,19,1,3,1.741,87.602,88.19,2,1.018,23.313,26.487,5,1.014,23.971,29.045,4,1.672,20.594,26.711,5,1.285,23.726,26.169,5,1.677,24.989,26.064,6,1,1,,,,,not sure,2,,,,,,,6,3,,,,,,2,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61266e30-6c04-d275-c798-e6179f1c9f90,,,,1,
2021-08-25 17:22:45,2021-08-25 17:27:44,0,100,298,1,2021-08-25 17:27:44,R_3kd22J81p7WBQVf,anonymous,EN,1,1,1,55,1,3,12.528,67.43,68.391,2,4.191,24.346,26.494,5,5.289,18.66,26.311,3,2.527,18.074,26.557,3,4.942,25.255,26.226,8,5.1,23.901,26.499,3,1,,1,,1,1,The quality and actor,2,,,,,,,8,2,,,,,,2,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61266e26-4cb2-a3e6-72f5-26189e765b80,,,,1,
